key,0
#,Name
offset,0
int32,str
0,
1,
2,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
3,預計在下次工程中完成第一次整備區域的設施建設。<hex:02100103>工程的開始時間請前往重建公告板進行確認！
4,辛苦了，第一次的整備計畫宣告完成。<hex:02100103>為了接下來的第二次整備計畫，請前往物資窗口交付物料！
5,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
6,預計在下次工程中完成第二次整備區域的設施建設。<hex:02100103>工程的開始時間請前往重建公告板進行確認！
7,辛苦了，第二次的整備計畫宣告完成。<hex:02100103>為了接下來的第三次整備計畫，請前往物資窗口交付物料！
8,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
9,預計在下次工程中完成第三次整備區域的設施建設。<hex:02100103>工程的開始時間請前往重建公告板進行確認！
10,“無名眾人廣場”的整備計畫全工程就此竣工！<hex:02100103>各位辛苦了！
11,
12,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
13,辛苦了，十字鎬大街第一次的整備計畫宣告完成。<hex:02100103>為了接下來的第二次整備計畫，請前往物資窗口交付物料！
14,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
15,辛苦了，十字鎬大街第二次的整備計畫宣告完成。<hex:02100103>為了接下來的第三次整備計畫，請前往物資窗口交付物料！
16,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
17,預計在下次工程中完成十字鎬大街第三次的整備計畫。<hex:02100103>工程的開始時間請前往重建公告板進行確認！
18,辛苦了，十字鎬大街第三次的整備計畫宣告完成。<hex:02100103>為了接下來的第四次整備計畫，請前往物資窗口交付物料！
19,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
20,預計在下次工程中完成十字鎬大街第四次的整備計畫。<hex:02100103>工程的開始時間請前往重建公告板進行確認！
21,十字鎬大街的整備計畫全工程就此竣工！各位辛苦了！<hex:02100103>為了接下來的聖羅艾勒廣場整備計畫，請前往物資窗口交付物料！
22,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
23,辛苦了，聖羅艾勒廣場第一次的整備計畫宣告完成。<hex:02100103>為了接下來的第二次整備計畫，請前往物資窗口交付物料！
24,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
25,辛苦了，聖羅艾勒廣場第二次的整備計畫宣告完成。<hex:02100103>為了接下來的第三次整備計畫，請前往物資窗口交付物料！
26,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
27,預計在下次工程中完成聖羅艾勒廣場第三次的整備計畫。<hex:02100103>工程的開始時間請前往重建公告板進行確認！
28,辛苦了，聖羅艾勒廣場第三次的整備計畫宣告完成。<hex:02100103>為了接下來的第四次整備計畫，請前往物資窗口交付物料！
29,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
30,聖羅艾勒廣場的整備計畫全工程就此竣工！各位辛苦了！<hex:02100103>為了接下來的新巢居住區整備計畫，請前往物資窗口交付物料！
31,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
32,辛苦了，新巢居住區第一次的整備計畫宣告完成。<hex:02100103>為了接下來的第二次整備計畫，請前往物資窗口交付物料！
33,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
34,辛苦了，新巢居住區第二次的整備計畫宣告完成。<hex:02100103>為了接下來的第三次整備計畫，請前往物資窗口交付物料！
35,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
36,辛苦了，新巢居住區第三次的整備計畫宣告完成。<hex:02100103>為了接下來的第四次整備計畫，請前往物資窗口交付物料！
37,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
38,預計在下次工程中完成新巢居住區第四次的整備計畫。<hex:02100103>工程的開始時間請前往重建公告板進行確認！
39,辛苦了，新巢居住區第四次的整備計畫宣告完成。<hex:02100103>為了接下來的第五次整備計畫，請前往物資窗口交付物料！
40,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
41,預計在下次工程中完成新巢居住區第五次的整備計畫。<hex:02100103>工程的開始時間請前往重建公告板進行確認！
42,辛苦了，新巢居住區第五次的整備計畫宣告完成。<hex:02100103>為了接下來的第六次整備計畫，請前往物資窗口交付物料！
43,物料已準備充足，計畫開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。
44,預計在下次工程中完成新巢居住區第六次的整備計畫。<hex:02100103>工程的開始時間請前往重建公告板進行確認！
